,Well,X,Y,NTG
76,203-924,203,924,0.4079672986136302
77,203-925,203,925,0.40720358023089637
78,203-926,203,926,0.39759028980385414
79,203-927,203,927,0.3802707566130831
80,203-928,203,928,0.3614693681277184
81,203-930,203,930,0.32920681863463497
82,204-901,204,901,0.2625090936190133
83,204-902,204,902,0.2525348069594407
84,204-903,204,903,0.23219430650749465
85,204-905,204,905,0.21623052469645587
86,204-906,204,906,0.2158072729379986
87,204-908,204,908,0.21606724544658895
88,204-909,204,909,0.2400762528448196
89,204-910,204,910,0.26455014263856147
90,204-911,204,911,0.28153687950989176
91,204-912,204,912,0.30068529360731605
92,204-913,204,913,0.3141430756633237
93,204-914,204,914,0.32454664794032406
94,204-915,204,915,0.33117818525700804
95,204-916,204,916,0.3385833413854484
96,204-917,204,917,0.35064296626164615
97,204-918,204,918,0.3595985704416376
98,204-919,204,919,0.36908269692969115
99,204-920,204,920,0.37856901353652084
100,204-921,204,921,0.3791131488648914
101,204-922,204,922,0.37714850698179053
102,204-923,204,923,0.3781382621325031
103,204-924,204,924,0.39202568243858876
104,204-926,204,926,0.3918025113430531
105,204-927,204,927,0.37139336822561325
106,204-928,204,928,0.3461195963810913
107,204-929,204,929,0.32477816730246806
108,204-930,204,930,0.31090801099683657
109,205-901,205,901,0.2590313442536259
110,205-902,205,902,0.251801680282725
111,205-903,205,903,0.23348541194767436
112,205-904,205,904,0.214557753972283
113,205-905,205,905,0.20687543281447476
114,205-906,205,906,0.20058281745553388
115,205-907,205,907,0.20015388405310802
116,205-908,205,908,0.21880074714728917
117,205-909,205,909,0.2473779226624995
118,205-910,205,910,0.27353120213290966
119,205-912,205,912,0.3014355729209161
120,205-913,205,913,0.31241078867755323
121,205-914,205,914,0.32098418403501555
122,205-915,205,915,0.32696542647778515
123,205-917,205,917,0.34520872002917263
124,205-918,205,918,0.3549335559666848
125,205-919,205,919,0.36247398184864865
126,205-920,205,920,0.3709324355264802
127,205-921,205,921,0.36494953959070425
128,205-922,205,922,0.3566998511651639
129,205-924,205,924,0.3677638290616558
130,205-925,205,925,0.3787102561201733
131,205-926,205,926,0.370661612795515
132,205-928,205,928,0.3234126674464282
133,205-929,205,929,0.2975086843648597
134,205-930,205,930,0.2873123565905018
135,206-901,206,901,0.2623614166752414
136,206-902,206,902,0.24948961204141185
137,206-903,206,903,0.23564561422486768
138,206-904,206,904,0.2169957051295924
139,206-905,206,905,0.2074105200773841
140,206-906,206,906,0.1971005740240095
141,206-907,206,907,0.19788599983130448
142,206-908,206,908,0.22423272358071697
143,206-909,206,909,0.2617601093747802
144,206-910,206,910,0.2915293126656696
145,206-911,206,911,0.2973339174739418
146,206-913,206,913,0.30894440091848324
147,206-915,206,915,0.33713877777360957
148,206-916,206,916,0.34386143379781786
149,206-917,206,917,0.34920120164994845
150,206-918,206,918,0.35674572031933766
151,206-919,206,919,0.361161259760563
152,206-920,206,920,0.36168274027495034
153,206-921,206,921,0.35903069023490924
154,206-922,206,922,0.35676646686645697
155,206-923,206,923,0.35099080826850354
156,206-924,206,924,0.3541043633785893
157,206-925,206,925,0.35455178440282764
158,206-926,206,926,0.34376280601233294
159,206-927,206,927,0.3224680572876701
160,206-928,206,928,0.2973563200668984
161,206-930,206,930,0.26834594605466605
162,207-901,207,901,0.26493259472489283
163,207-902,207,902,0.2564211413932119
164,207-903,207,903,0.24078439754439385
165,207-904,207,904,0.22596359473658278
166,207-905,207,905,0.2115766744285504
167,207-906,207,906,0.20234581931126921
168,207-908,207,908,0.2321661253996388
169,207-909,207,909,0.2776298354716489
170,207-911,207,911,0.29974412214258395
171,207-913,207,913,0.3086738688605112
172,207-914,207,914,0.3403396696149248
173,207-915,207,915,0.36075587147088484
174,207-916,207,916,0.3644020872752428
175,207-917,207,917,0.3621190371426451
176,207-918,207,918,0.3656347185063622
177,207-920,207,920,0.37001449002646275
178,207-921,207,921,0.3673738156861215
179,207-922,207,922,0.3628883795535652
180,207-923,207,923,0.35809197620965927
181,207-924,207,924,0.35203077315613324
182,207-925,207,925,0.34318040607953476
183,207-926,207,926,0.3262839621656033
184,207-928,207,928,0.28586162089278216
185,207-929,207,929,0.2712939848482994
186,208-901,208,901,0.26789327802680024
187,208-902,208,902,0.2638053347740897
188,208-903,208,903,0.25138078018413157
189,208-904,208,904,0.23965271421541967
190,208-905,208,905,0.2294964775411889
191,208-906,208,906,0.22102580715527176
192,208-907,208,907,0.22671544213987233
193,208-908,208,908,0.2505566128333145
194,208-909,208,909,0.2836442629090484
195,208-910,208,910,0.3083196401839688
196,208-911,208,911,0.30879901032626683
197,208-912,208,912,0.3066080582877732
198,208-913,208,913,0.3296885549063545
199,208-914,208,914,0.3628913508705698
200,208-916,208,916,0.3766833557652593
201,208-917,208,917,0.372870770805352
202,208-918,208,918,0.3720780952479771
203,208-920,208,920,0.37427332076936515
204,208-921,208,921,0.36986700538278383
205,208-922,208,922,0.3675905162526281
206,208-923,208,923,0.36195791564157975
207,208-924,208,924,0.35366566929262955
208,208-926,208,926,0.32560962766035967
209,208-927,208,927,0.30880983829834024
210,208-928,208,928,0.2955508016026135
211,208-929,208,929,0.2846287275736505
212,208-930,208,930,0.2796147338651212
213,209-901,209,901,0.27861389033734196
214,209-902,209,902,0.2737372616928405
215,209-903,209,903,0.26919569780908054
216,209-904,209,904,0.26017817955511896
217,209-905,209,905,0.2538705826490068
218,209-906,209,906,0.24840917593001696
219,209-907,209,907,0.2563208091598175
220,209-908,209,908,0.2701001708466582
221,209-909,209,909,0.29183583201647856
222,209-910,209,910,0.31342452610795474
223,209-911,209,911,0.3193621027051312
224,209-912,209,912,0.32928258317728043
225,209-913,209,913,0.3529790506108593
226,209-914,209,914,0.3808442125613602
227,209-915,209,915,0.3957257918411373
228,209-917,209,917,0.3864736016128043
229,209-918,209,918,0.38264884252647824
230,209-919,209,919,0.3793284772240308
231,209-920,209,920,0.37411338484564427
232,209-921,209,921,0.3736928608663262
233,209-922,209,922,0.37716777079756725
234,209-923,209,923,0.37355968840923165
235,209-924,209,924,0.3613891643839083
236,209-925,209,925,0.34735977424988596
237,209-926,209,926,0.33634099554421854
238,209-927,209,927,0.32597511499395726
239,209-928,209,928,0.31477582688696737
240,209-929,209,929,0.3042479419219266
241,209-930,209,930,0.2985779774015622
242,210-901,210,901,0.29157392758080775
243,210-902,210,902,0.2907004725905313
244,210-903,210,903,0.2870246386720473
245,210-904,210,904,0.2846353749063197
246,210-905,210,905,0.27757759448205926
247,210-906,210,906,0.2745874679862535
248,210-907,210,907,0.27119328755033734
249,210-908,210,908,0.28497918673012373
250,210-909,210,909,0.29283243792637065
251,210-910,210,910,0.31926128305165447
252,210-911,210,911,0.33143630826026904
253,210-912,210,912,0.3516461606084378
254,210-913,210,913,0.3707447809053401
255,210-915,210,915,0.41554866616248515
256,210-917,210,917,0.4115145469012304
257,210-918,210,918,0.39320468566315536
258,210-919,210,919,0.3807337990881086
259,210-920,210,920,0.37627930506082374
260,210-921,210,921,0.37122449403277064
261,210-922,210,922,0.3756169734798281
262,210-924,210,924,0.3589757462019591
263,210-925,210,925,0.3480668482818186
264,210-926,210,926,0.3463302998122995
265,210-927,210,927,0.3445783838967726
266,210-928,210,928,0.33445779303840634
267,210-929,210,929,0.3239937310375601
268,210-930,210,930,0.3161648840800385
269,211-901,211,901,0.29960012548408127
270,211-902,211,902,0.3054047287353187
271,211-903,211,903,0.30910042382095493
272,211-904,211,904,0.3095733618366197
273,211-905,211,905,0.3021765760558124
274,211-906,211,906,0.2943069505755368
275,211-907,211,907,0.2918846498355108
276,211-908,211,908,0.30007360088396995
277,211-909,211,909,0.30383023454840163
278,211-910,211,910,0.32521907998984023
279,211-911,211,911,0.3434951280819691
280,211-912,211,912,0.36251562804716264
281,211-913,211,913,0.3817078765154481
282,211-915,211,915,0.4194604040853902
283,211-916,211,916,0.42547549026324805
284,211-917,211,917,0.41206867892546767
285,211-918,211,918,0.3949085102291002
286,211-920,211,920,0.3656005176122374
287,211-921,211,921,0.3584586788895232
288,211-922,211,922,0.35698828725299764
289,211-923,211,923,0.35201436565769306
290,211-925,211,925,0.3412181738778597
291,211-926,211,926,0.351347122274445
292,211-929,211,929,0.33971225444513864
293,211-930,211,930,0.33167244564340653
294,212-901,212,901,0.3199932100656082
295,212-902,212,902,0.3252944976286596
296,212-903,212,903,0.3328230007400173
297,212-906,212,906,0.3128632455612927
298,212-907,212,907,0.3030217769557658
299,212-908,212,908,0.30977342073720343
300,212-909,212,909,0.31429191810981827
301,212-910,212,910,0.3205475412234674
302,212-911,212,911,0.33999990944358927
303,212-912,212,912,0.3640792501438339
304,212-913,212,913,0.3845348171844936
305,212-914,212,914,0.4002164126605651
306,212-915,212,915,0.406978704112678
307,212-916,212,916,0.40736071669723023
308,212-917,212,917,0.40017321052082044
309,212-918,212,918,0.38874698609063735
310,212-919,212,919,0.37036933283618945
311,212-920,212,920,0.35129332872056707
312,212-922,212,922,0.3304918329505155
313,212-923,212,923,0.3260578066073517
314,212-924,212,924,0.3237871081862103
315,212-925,212,925,0.3314406512017466
316,212-926,212,926,0.3447955323147239
317,212-927,212,927,0.35542104996577223
318,212-928,212,928,0.3549347992616204
319,212-929,212,929,0.35091116288507546
320,212-930,212,930,0.3435795179111166
321,213-901,213,901,0.32897550469156117
322,213-902,213,902,0.3368266122154576
323,213-903,213,903,0.3488230751181557
324,213-904,213,904,0.35558317855779636
325,213-905,213,905,0.3447723677401463
326,213-906,213,906,0.3275967851636087
327,213-907,213,907,0.3139751979891894
328,213-908,213,908,0.3026101490475225
329,213-909,213,909,0.3111420478384683
330,213-910,213,910,0.3219959694665219
331,213-911,213,911,0.34274200864190524
332,213-912,213,912,0.36524042017684083
333,213-913,213,913,0.38270769716236497
334,213-914,213,914,0.3919850737132275
335,213-915,213,915,0.39224083828485773
336,213-916,213,916,0.3879167605910364
337,213-917,213,917,0.3843518749217661
338,213-918,213,918,0.38047867386793965
339,213-919,213,919,0.3598805588404191
340,213-920,213,920,0.3338623499869568
341,213-921,213,921,0.3131994753207254
342,213-922,213,922,0.3040847796019464
343,213-923,213,923,0.3029406524479605
344,213-924,213,924,0.31109421490810546
345,213-925,213,925,0.3211192933569731
346,213-926,213,926,0.33369686417906314
347,213-927,213,927,0.34652051919973115
348,213-928,213,928,0.35382753859047344
349,213-929,213,929,0.35528605059079255
350,213-930,213,930,0.3536129783800475
351,214-901,214,901,0.3370021693374499
352,214-902,214,902,0.3422418996768248
353,214-903,214,903,0.3579710816073619
354,214-905,214,905,0.3573923540604433
355,214-906,214,906,0.3321602306335722
356,214-907,214,907,0.30860159174457574
357,214-908,214,908,0.29451357224553665
358,214-909,214,909,0.30042455197963847
359,214-910,214,910,0.32125186663091687
360,214-911,214,911,0.3415278619306983
361,214-912,214,912,0.3651322451635882
362,214-913,214,913,0.38238027912239797
363,214-914,214,914,0.3828915389322597
364,214-915,214,915,0.3741180930439924
365,214-916,214,916,0.3668859555691811
366,214-917,214,917,0.37152891106746877
367,214-919,214,919,0.35542607551997624
368,214-920,214,920,0.3229468014255207
369,214-921,214,921,0.28398739246204247
370,214-922,214,922,0.27675389843920356
371,214-923,214,923,0.2829890481172391
372,214-924,214,924,0.29333440415860157
373,214-925,214,925,0.30813139399496486
374,214-926,214,926,0.32338369067972567
375,214-927,214,927,0.34091982221279205
376,214-928,214,928,0.35382661645881525
377,214-929,214,929,0.35912158602245475
378,214-930,214,930,0.363019995111701
379,215-901,215,901,0.3399320140472621
380,215-902,215,902,0.33776815828853185
381,215-903,215,903,0.3565821596340695
382,215-904,215,904,0.37128006198110763
383,215-905,215,905,0.36204255836918237
384,215-906,215,906,0.33568463203880106
385,215-907,215,907,0.3005290073836864
386,215-908,215,908,0.2760856975941988
387,215-909,215,909,0.28399301222954637
388,215-911,215,911,0.33245808148364975
389,215-912,215,912,0.3574419590795547
390,215-914,215,914,0.37358588096100925
391,215-915,215,915,0.35914643183665634
392,215-917,215,917,0.3659767690027515
393,215-918,215,918,0.3764513626621534
394,215-919,215,919,0.37211715251589267
395,215-920,215,920,0.33885507901850315
396,215-922,215,922,0.26269680908704224
397,215-923,215,923,0.2723159612198497
398,215-924,215,924,0.28149136130798347
399,215-925,215,925,0.29790032272212347
400,215-926,215,926,0.31246060587693825
401,215-927,215,927,0.32896611126379827
402,215-929,215,929,0.35498308564813846
403,216-901,216,901,0.34562766439405523
404,216-903,216,903,0.3628141336739759
405,216-904,216,904,0.38178804553961815
406,216-905,216,905,0.37634296140862333
407,216-906,216,906,0.3440083053924741
408,216-907,216,907,0.29542822519375656
409,216-909,216,909,0.2640943030523991
410,216-910,216,910,0.2891292480456362
411,216-911,216,911,0.312185683892294
412,216-912,216,912,0.3359094896898898
413,216-913,216,913,0.35318858610481074
414,216-914,216,914,0.35516613368389793
415,216-915,216,915,0.35389729984200274
416,216-916,216,916,0.35793297011292036
417,216-918,216,918,0.38701961247396155
418,216-919,216,919,0.3956933932296224
419,216-921,216,921,0.31964545893255847
420,216-922,216,922,0.28209734428470323
421,216-923,216,923,0.2726726080388368
422,216-924,216,924,0.27610638055896547
423,216-925,216,925,0.2830304555172249
424,216-926,216,926,0.29411933614164754
425,216-928,216,928,0.32494044312651216
426,216-929,216,929,0.34071805865597427
427,216-930,216,930,0.36025899435250597
428,217-901,217,901,0.3723115000176262
429,217-902,217,902,0.3756903467031043
430,217-903,217,903,0.39489264070787955
431,217-904,217,904,0.41294226749704005
432,217-905,217,905,0.40930571379396186
433,217-906,217,906,0.367492069021172
434,217-907,217,907,0.3122440001641775
435,217-908,217,908,0.2676556719884518
436,217-909,217,909,0.25885120555203506
437,217-910,217,910,0.2716829019746701
438,217-911,217,911,0.2900398500455313
439,217-912,217,912,0.31030227650526676
440,217-913,217,913,0.3290133445666222
441,217-914,217,914,0.3388680458589717
442,217-915,217,915,0.35064163537898596
443,217-916,217,916,0.36349640777737197
444,217-917,217,917,0.3775721814850182
445,217-918,217,918,0.3858515457823458
446,217-919,217,919,0.3890002301008032
447,217-920,217,920,0.3768887710198034
448,217-921,217,921,0.33494249676585525
449,217-923,217,923,0.27323398689285355
450,217-924,217,924,0.2629481743131834
451,217-925,217,925,0.26570323305784427
452,217-927,217,927,0.28763018998978296
453,217-928,217,928,0.2993079471050998
454,217-929,217,929,0.3188120164151385
455,217-930,217,930,0.35678696876176863
456,218-901,218,901,0.4073416255273742
457,218-902,218,902,0.41747994564091906
458,218-903,218,903,0.4278294835028232
459,218-904,218,904,0.4404688185490727
460,218-906,218,906,0.3899105086618309
461,218-907,218,907,0.3297880806255169
462,218-908,218,908,0.2829004863836641
463,218-909,218,909,0.2588871297344935
464,218-910,218,910,0.26188814877328465
465,218-911,218,911,0.27683049597382353
466,218-912,218,912,0.2901477512706737
467,218-913,218,913,0.3064056932589918
468,218-914,218,914,0.32553121887368996
469,218-915,218,915,0.3441218790633355
470,218-916,218,916,0.3608311328719468
471,218-917,218,917,0.369894290023955
472,218-918,218,918,0.3750564972779316
473,218-919,218,919,0.36854647999005774
474,218-920,218,920,0.35162858678256514
475,218-921,218,921,0.32448726719281873
476,218-922,218,922,0.28966438990204196
477,218-923,218,923,0.26330131685424424
478,218-924,218,924,0.24815321108384078
479,218-925,218,925,0.2500455327719391
480,218-926,218,926,0.2604399881411087
481,218-927,218,927,0.27167104023817373
482,218-928,218,928,0.282239034945827
483,219-901,219,901,0.43082243062902104
484,219-904,219,904,0.43977567154468583
485,219-905,219,905,0.4276558807721344
486,219-906,219,906,0.3872776991975519
487,219-908,219,908,0.2897740515669005
488,219-910,219,910,0.2612680499554633
489,219-911,219,911,0.2722237892948877
490,219-912,219,912,0.28259339271709316
491,219-914,219,914,0.32001544910448354
492,219-915,219,915,0.34423506210046334
493,219-916,219,916,0.3589403009213746
494,219-917,219,917,0.36360272311491737
495,219-918,219,918,0.3627036519047843
496,219-919,219,919,0.3488686014755334
497,219-920,219,920,0.3322161229716997
498,219-921,219,921,0.3070885193632959
499,219-922,219,922,0.277815558151383
500,219-923,219,923,0.2520024814345555
501,219-925,219,925,0.2392483945854882
502,219-926,219,926,0.2520559205644067
503,219-927,219,927,0.2653240982998466
504,219-928,219,928,0.28441090150656606
505,219-929,219,929,0.32206305280896025
506,220-901,220,901,0.4341448096265408
507,220-902,220,902,0.430756317977946
508,220-903,220,903,0.42682843570524753
509,220-904,220,904,0.4199326955351676
510,220-905,220,905,0.40308042170853525
511,220-906,220,906,0.37293154360832576
512,220-907,220,907,0.3350826850003649
513,220-908,220,908,0.29810087334197893
514,220-909,220,909,0.2742641802123385
515,220-910,220,910,0.2717967776815855
516,220-911,220,911,0.2811352904443625
517,220-912,220,912,0.29140094654418497
518,220-913,220,913,0.3082015972423645
519,220-914,220,914,0.3338955873701855
520,220-915,220,915,0.352640187404698
521,220-916,220,916,0.3601022292600914
522,220-917,220,917,0.35705982498134986
523,220-918,220,918,0.3507077360080727
524,220-919,220,919,0.3372687366513017
525,220-920,220,920,0.31341173619173024
526,220-921,220,921,0.2903973809795152
527,220-922,220,922,0.26884128498847903
528,220-924,220,924,0.23607246521759406
529,220-925,220,925,0.23897859189195048
530,220-926,220,926,0.24877054276743782
531,220-927,220,927,0.26428112870310816
532,220-928,220,928,0.2901174687743128
533,220-929,220,929,0.3234688458799547
534,220-930,220,930,0.3582833593725024
535,221-903,221,903,0.40247961870551474
536,221-904,221,904,0.3961457725486336
537,221-905,221,905,0.3808585637204411
538,221-906,221,906,0.3567858390515566
539,221-907,221,907,0.3309939198456087
540,221-908,221,908,0.30597344175123253
541,221-909,221,909,0.2918243968388588
542,221-910,221,910,0.2911393890867293
543,221-911,221,911,0.29666153907147935
544,221-912,221,912,0.3076616110348308
545,221-913,221,913,0.32830291366170117
546,221-914,221,914,0.3517693364895047
547,221-915,221,915,0.36704189317481534
548,221-916,221,916,0.36770374747901036
549,221-917,221,917,0.35851953299662814
550,221-918,221,918,0.3400084566633824
551,221-919,221,919,0.31963225870291234
552,221-920,221,920,0.3023098167602762
553,221-921,221,921,0.28557781035013136
554,221-922,221,922,0.26329641533219383
555,221-923,221,923,0.2489678634653678
556,221-924,221,924,0.2435404286959735
557,221-925,221,925,0.24393170802715394
558,221-926,221,926,0.2517189174216602
559,221-927,221,927,0.2702557713135691
560,221-928,221,928,0.28793417262726784
561,221-929,221,929,0.3098243401435142
562,221-930,221,930,0.33004551196883397
563,222-901,222,901,0.41904174933910304
564,222-902,222,902,0.4006949109003938
565,222-903,222,903,0.3893313244924499
566,222-904,222,904,0.37924887659135864
567,222-905,222,905,0.3631742348592326
568,222-906,222,906,0.344923589193945
569,222-907,222,907,0.3276157323959087
570,222-908,222,908,0.31745617932440895
571,222-909,222,909,0.3047916851960225
572,222-910,222,910,0.3037341726509274
573,222-911,222,911,0.3126005193666193
574,222-912,222,912,0.32902463598997794
575,222-913,222,913,0.3454423745947908
576,222-914,222,914,0.36842225878827806
577,222-916,222,916,0.3714440621741154
578,222-918,222,918,0.33162890769884695
579,222-919,222,919,0.31040577919245366
580,222-920,222,920,0.2922921201357079
581,222-921,222,921,0.27558916891337315
582,222-922,222,922,0.26054717979017317
583,222-923,222,923,0.2521349403175585
584,222-924,222,924,0.25005239479482816
585,222-925,222,925,0.2543073590110496
586,222-926,222,926,0.2644700598949042
587,222-927,222,927,0.27601736091994683
588,222-928,222,928,0.2881546355095277
589,222-929,222,929,0.29393333215717193
590,222-930,222,930,0.30380292805924014
591,223-901,223,901,0.4038300129200838
592,223-902,223,902,0.3947056008987998
593,223-903,223,903,0.3808868491086852
594,223-904,223,904,0.3717541361542312
595,223-906,223,906,0.3367022737255323
596,223-907,223,907,0.3229866556327917
597,223-908,223,908,0.3172818225800454
598,223-909,223,909,0.3174759851256455
599,223-910,223,910,0.31624838447628906
600,223-911,223,911,0.33110447451598934
601,223-912,223,912,0.346639281203777
602,223-913,223,913,0.3633753680830108
603,223-914,223,914,0.37368813886595165
604,223-915,223,915,0.37893744992476175
605,223-916,223,916,0.36282684804513715
606,223-917,223,917,0.34283908042406885
607,223-918,223,918,0.319198852651452
608,223-919,223,919,0.2967026717036501
609,223-920,223,920,0.2786243104216816
610,223-921,223,921,0.26371019932229656
611,223-922,223,922,0.25486144157359997
612,223-923,223,923,0.25478247734501264
613,223-924,223,924,0.2586389398027016
614,223-925,223,925,0.26658147603227555
615,223-926,223,926,0.270736098755936
616,223-927,223,927,0.28035857747159887
617,223-928,223,928,0.28437242691912257
618,223-929,223,929,0.2889088974927686
619,224-901,224,901,0.3932390449698931
620,224-902,224,902,0.38239664313573335
621,224-903,224,903,0.3698522456179396
622,224-904,224,904,0.3643513355795504
623,224-905,224,905,0.3511904417675419
624,224-906,224,906,0.3344110121951859
625,224-908,224,908,0.32912904553676553
626,224-909,224,909,0.33199645758408164
627,224-910,224,910,0.3333318427518363
628,224-911,224,911,0.3378860633148505
629,224-912,224,912,0.3543164135890422
630,224-913,224,913,0.36824539841222975
631,224-914,224,914,0.374119504474718
632,224-916,224,916,0.3427435712964917
633,224-917,224,917,0.32158943328103423
634,224-918,224,918,0.30297610118495916
635,224-919,224,919,0.285864814552541
636,224-920,224,920,0.2628353045016782
637,224-921,224,921,0.25037743827811076
638,224-922,224,922,0.25110658437362327
639,224-923,224,923,0.25430258771901115
640,224-924,224,924,0.2668116418767247
641,224-925,224,925,0.28163620254224203
642,224-926,224,926,0.29127146520481095
643,224-927,224,927,0.29635125054424544
644,224-928,224,928,0.2970594166476369
645,224-929,224,929,0.2939738001494899
646,224-930,224,930,0.29296674524718247
647,225-901,225,901,0.38870823770518986
648,225-902,225,902,0.37513134656375374
649,225-903,225,903,0.3634385663632988
650,225-904,225,904,0.35461301448234417
651,225-905,225,905,0.3472584038867289
652,225-906,225,906,0.33381191762385287
653,225-907,225,907,0.3315875134439204
654,225-909,225,909,0.329802438912034
655,225-910,225,910,0.3340705557223682
656,225-911,225,911,0.3471308449413178
657,225-912,225,912,0.36429693516568096
658,225-913,225,913,0.3707220956005516
659,225-914,225,914,0.3683971043156905
660,225-915,225,915,0.3511036557014068
661,225-917,225,917,0.3070354303836323
662,225-918,225,918,0.29827837626761955
663,225-919,225,919,0.2828021653899789
664,225-920,225,920,0.2622471486264577
665,225-923,225,923,0.26876588725060485
666,225-924,225,924,0.2865809211371992
667,225-925,225,925,0.29840314387442723
668,225-926,225,926,0.3082488032007533
669,225-927,225,927,0.3133471434028429
670,225-929,225,929,0.3089438112258835
671,225-930,225,930,0.30638221867459087
672,226-901,226,901,0.38698118982900215
673,226-902,226,902,0.3699219114241562
674,226-903,226,903,0.36097976805277615
675,226-904,226,904,0.3546443524515173
676,226-905,226,905,0.3457989833878911
677,226-906,226,906,0.3339780990899238
678,226-907,226,907,0.3295200871535352
679,226-908,226,908,0.3224974310794971
680,226-910,226,910,0.32295363989136305
681,226-911,226,911,0.3484144887247985
682,226-912,226,912,0.37192513068395505
683,226-913,226,913,0.37604240425768287
684,226-914,226,914,0.3678448866040055
685,226-915,226,915,0.35292875526691253
686,226-916,226,916,0.32678210468174385
687,226-917,226,917,0.3147389357178404
688,226-918,226,918,0.30830239500187806
689,226-919,226,919,0.29422313151931073
690,226-920,226,920,0.27765478688989553
691,226-921,226,921,0.2668048303734855
692,226-922,226,922,0.2747051859673859
693,226-923,226,923,0.2905279361092628
694,226-924,226,924,0.3065144455022802
695,226-925,226,925,0.3210393461211016
696,226-927,226,927,0.3326719516347254
697,226-930,226,930,0.3171507163476466
698,227-901,227,901,0.3964364894339141
699,227-903,227,903,0.3635405684463621
700,227-904,227,904,0.3584433074935176
701,227-905,227,905,0.34906860181237936
702,227-906,227,906,0.3407571184342089
703,227-907,227,907,0.32780483021245327
704,227-908,227,908,0.31008209961367617
705,227-910,227,910,0.31703024836012117
706,227-911,227,911,0.35795832047333886
707,227-912,227,912,0.3857718970389212
708,227-913,227,913,0.3904491211318098
709,227-914,227,914,0.37945667443513115
710,227-915,227,915,0.35917842491489316
711,227-916,227,916,0.34263903409829227
712,227-917,227,917,0.3309087814780515
713,227-918,227,918,0.32408338789292357
714,227-919,227,919,0.31220975229528014
715,227-920,227,920,0.29892747983007145
716,227-921,227,921,0.29298892388337133
717,227-922,227,922,0.29744619017558654
718,227-923,227,923,0.31005072595444283
719,227-924,227,924,0.32613996753425084
720,227-925,227,925,0.3395513767396258
721,227-926,227,926,0.3477771324179958
722,227-927,227,927,0.3471259196471362
723,227-928,227,928,0.34151727079678795
724,227-929,227,929,0.33217432526785945
725,227-930,227,930,0.32239613762926334
726,228-902,228,902,0.39946694079999234
727,228-903,228,903,0.38435746445876207
728,228-904,228,904,0.37352368805519715
729,228-905,228,905,0.35934714186229155
730,228-906,228,906,0.3466578719902787
731,228-907,228,907,0.3349418058893807
732,228-909,228,909,0.30673426914701496
733,228-910,228,910,0.32401408632848966
734,228-911,228,911,0.3628065446845485
735,228-913,228,913,0.3962301343579914
